t = 5.370000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 9.068124999663319530e-01
2.000000000000000111e-01 1.814312192327724116e+00
3.000000000000000444e-01 2.723184940377768370e+00
4.000000000000000222e-01 3.634113955240390048e+00
5.000000000000000000e-01 4.547778484782984521e+00
6.000000000000000888e-01 5.464852520289348980e+00
7.000000000000000666e-01 6.386003526418478238e+00
8.000000000000000444e-01 7.311891199642453820e+00
9.000000000000000222e-01 8.243166259946368868e+00
1.000000000000000000e+00 9.180469280089576856e+00
1.100000000000000089e+00 1.012442955617458296e+01
1.200000000000000178e+00 1.107566402265280736e+01
1.300000000000000044e+00 1.203477621422097776e+01
1.400000000000000133e+00 1.300235527633345356e+01
1.500000000000000000e+00 1.397897502528144820e+01
1.600000000000000089e+00 1.496519305797604105e+01
1.700000000000000178e+00 1.596154991072496721e+01
1.800000000000000044e+00 1.696856826542124708e+01
1.900000000000000133e+00 1.798675220067075742e+01
2.000000000000000000e+00 1.901658648448449185e+01
2.100000000000000089e+00 2.005853590425583022e+01
2.200000000000000178e+00 2.111304462884131894e+01
2.300000000000000266e+00 2.218053559667268360e+01
2.400000000000000355e+00 2.326140992295468024e+01
2.500000000000000000e+00 2.435604631815579069e+01
2.600000000000000089e+00 2.546480050918304983e+01
2.700000000000000178e+00 2.658800465385589362e+01
2.800000000000000266e+00 2.772596673856380178e+01
2.900000000000000355e+00 2.887896994831468689e+01
3.000000000000000000e+00 3.004727199776394286e+01
3.100000000000000089e+00 3.123110441126309667e+01
3.200000000000000178e+00 3.243067173949016535e+01
3.300000000000000266e+00 3.364615069982756523e+01
3.400000000000000355e+00 3.487768922734473165e+01
3.500000000000000000e+00 3.612540542302924962e+01
3.600000000000000089e+00 3.738938638579872276e+01
3.700000000000000178e+00 3.866968691482375675e+01
3.800000000000000266e+00 3.996632806880727173e+01
3.900000000000000355e+00 4.127929556910352460e+01
4.000000000000000000e+00 4.260853803393058570e+01
4.100000000000000533e+00 4.395396503143745548e+01
4.200000000000000178e+00 4.531544494003988888e+01
4.299999999999999822e+00 4.669280260524210746e+01
4.400000000000000355e+00 4.808581678312140895e+01
4.500000000000000000e+00 4.949421736177399822e+01
4.600000000000000533e+00 5.091768235330695092e+01
4.700000000000000178e+00 5.235583465041441542e+01
4.800000000000000711e+00 5.380823854320044575e+01
4.900000000000000355e+00 5.527439599370243428e+01
5.000000000000000000e+00 5.675374266752849195e+01
5.100000000000000533e+00 5.824564372414307911e+01
5.200000000000000178e+00 5.974938936961430613e+01
5.300000000000000711e+00 6.126419017806095724e+01
5.400000000000000355e+00 6.278917219059940891e+01
5.500000000000000000e+00 6.432337180327481008e+01
5.600000000000000533e+00 6.586573045824937367e+01
5.700000000000000178e+00 6.741508915539577629e+01
5.800000000000000711e+00 6.897018280438015836e+01
5.900000000000000355e+00 7.052963444029350626e+01
6.000000000000000000e+00 7.209194932887292850e+01
6.100000000000000533e+00 7.365550899031464382e+01
6.200000000000000178e+00 7.521856517358513372e+01
6.300000000000000711e+00 7.677923381595040553e+01
6.400000000000000355e+00 7.833548902512798406e+01
6.500000000000000000e+00 7.988515712398438495e+01
6.600000000000000533e+00 8.142591080001210457e+01
6.700000000000000178e+00 8.295526340388570929e+01
6.800000000000000711e+00 8.447056344317536514e+01
6.900000000000000355e+00 8.596898931875171002e+01
7.000000000000000000e+00 8.744754435250962388e+01
7.100000000000000533e+00 8.890305215573503972e+01
7.200000000000000178e+00 9.033215238770851840e+01
7.300000000000000711e+00 9.173129695395046213e+01
7.400000000000000355e+00 9.309674669284446225e+01
7.500000000000000000e+00 9.442456859820576653e+01
7.600000000000000533e+00 9.571063362367782190e+01
7.700000000000000178e+00 9.695061511263548937e+01
7.800000000000000711e+00 9.813998789454376492e+01
7.900000000000000355e+00 9.927402808547425650e+01
8.000000000000000000e+00 1.003478136267300158e+02
8.099999999999999645e+00 1.013562255912907091e+02
8.200000000000001066e+00 1.022939502830943042e+02
8.300000000000000711e+00 1.031554821490505276e+02
8.400000000000000355e+00 1.039351275181780920e+02
8.500000000000000000e+00 1.046270091764178147e+02
8.599999999999999645e+00 1.052250717795560178e+02
8.700000000000001066e+00 1.057230881003508216e+02
8.800000000000000711e+00 1.061146660994576649e+02
8.900000000000000355e+00 1.063932568031658121e+02
9.000000000000000000e+00 1.065521629643578478e+02
9.099999999999999645e+00 1.065845484765633842e+02
9.200000000000001066e+00 1.064834485045703758e+02
9.300000000000000711e+00 1.062417802888604257e+02
9.400000000000000355e+00 1.058523545752195218e+02
9.500000000000000000e+00 1.053078876153175543e+02
9.600000000000001421e+00 1.046010136789147964e+02
9.700000000000001066e+00 1.037242980137085198e+02
9.800000000000000711e+00 1.026702501847321969e+02
9.900000000000000355e+00 1.014313377217209080e+02
1.000000000000000000e+01 1.000000000000000000e+02
